대분류,합계,,재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha),재배면적(ha)
,,,0.1ha미만,,0.1~0.2,,0.2~0.3,,0.3~0.5,,0.5~0.7,,0.7~1.0,,1.0~1.5,,1.5~2.0,,2.0~2.5,,2.5~3.0,,3.0~5.0,,5.0~7.0,,7.0~10.0,,10.0ha 이상,
,경영체수(건),면적합계(ha),경영체수(건),면적합계(ha),경영체수(건),면적합계(ha),경영체수(건),면적합계(ha),경영체수(건),면적합계(ha),경영체수(건),면적합계(ha),경영체수(건),면적합계(ha),경영체수(건),면적합계(ha),경영체수(건),면적합계(ha),경영체수(건),면적합계(ha),경영체수(건),면적합계(ha),경영체수(건),면적합계(ha),경영체수(건),면적합계(ha),경영체수(건),면적합계(ha),경영체수(건),면적합계(ha)
미곡류,824833,678698.2322,30638,1996.281444,160810,24445.82406,144860,35958.68695,170818,65877.89881,84862,50112.41231,72363,60419.26491,59746,72703.07255,30344,52401.61428,17798,39677.76041,11665,31909.27091,22810,87178.50197,8945,52362.10003,5340,44053.40059,3834,59602.14295
맥류,53389,52623.04817,4006,208.262573,8942,1341.268164,7470,1854.918712,10142,3911.065256,4827,2849.624261,4670,3915.465519,4192,5115.551511,2508,4332.976506,1561,3486.112835,1163,3186.965846,2264,8642.807897,862,5043.800492,474,3888.291588,308,4845.937011
두류,434817,75756.89706,246320,10787.51449,96376,13343.88174,36798,8908.824669,28748,10932.26784,10497,6159.566043,6712,5551.275069,4469,5396.194377,1847,3180.986616,1041,2310.901745,515,1408.522009,1002,3785.835995,272,1585.044716,132,1090.54128,88,1315.54047
잡곡류,150476,23114.01031,94323,3287.07514,26582,3686.079485,11078,2684.203957,9317,3554.512388,3772,2211.455395,2477,2055.562807,1605,1937.27599,644,1105.744647,279,617.887,134,365.75886,184,684.544067,46,270.364447,19,155.17359,16,498.37254
서류,310079,41307.81713,228287,8376.759463,43920,5943.493349,13659,3293.056051,10774,4099.341822,4311,2536.351617,3182,2648.316407,2479,3004.911552,1189,2049.598715,702,1558.88111,429,1175.709484,702,2633.148494,218,1265.468442,118,953.06156,109,1769.719065
과실류,542091,167908.5942,190582,8477.036055,129661,18371.71768,63694,15560.10703,63316,24385.24223,32356,19105.6876,26674,22248.29454,20235,24466.92115,8244,14140.92111,3588,7939.596026,1698,4616.582788,1722,6252.757508,235,1351.69761,53,426.48889,33,565.54397
수실류,106514,26986.87181,52222,2140.370306,24738,3452.198181,10618,2565.474836,8877,3359.198572,3268,1912.070178,2325,1946.97463,1694,2016.500463,819,1416.62827,549,1197.47226,302,832.46768,654,2496.84232,234,1361.73201,124,1036.47648,90,1252.46562
과일과채류,70901,30263.75598,20968,617.207172,8793,1305.801699,8573,2155.322786,12162,4679.282552,7072,4181.892361,5910,4914.690571,4263,5155.992911,1630,2788.205037,707,1570.627485,373,1014.38393,372,1367.93903,56,320.412373,16,127.63469,6,64.36338
과채류,82211,12005.9597,54287,1528.066671,10523,1488.371175,5808,1428.488204,5784,2199.967251,2569,1509.469385,1680,1391.327855,979,1168.699242,325,557.522999,125,274.675034,55,146.81221,63,226.314429,10,56.08102,1,7.4296,2,22.73463
엽경채류,246877,44167.64171,173013,5358.050608,29084,4060.741661,13595,3340.333624,12759,4886.215953,5794,3413.298127,4356,3634.365018,3407,4148.222531,1743,2997.817086,920,2051.828873,628,1713.815714,1011,3837.028318,302,1763.520315,148,1212.34057,117,1750.063313
근채류,63346,14150.01401,43260,1010.085336,5555,795.331794,3610,885.476056,4076,1569.164878,2000,1182.247039,1634,1360.561833,1345,1630.695118,659,1138.043663,391,870.138142,252,689.361092,371,1384.696423,109,641.68509,48,395.03723,36,597.49032
조미채소류,682454,98594.06195,429091,18000.82747,132517,18234.93478,47630,11565.78432,37614,14333.57047,14514,8518.76959,9732,8065.719255,6278,7559.682245,2415,4150.038034,1156,2568.981995,580,1583.440353,748,2737.784016,119,689.450209,45,367.73243,15,217.34678
양채류,13410,5558.805205,3313,130.668511,2593,382.36552,1916,475.679325,2221,858.275726,1145,674.741769,910,753.674251,716,867.690046,306,523.245088,123,272.67213,73,201.715865,72,267.71244,16,96.252128,3,21.872076,3,32.24033
산채류,132818,18496.24822,85699,3020.048446,24673,3391.293304,8969,2165.126589,6960,2626.049823,2564,1500.069174,1635,1356.455675,1182,1419.53361,473,806.94026,253,558.04564,143,390.08615,192,712.36442,48,273.731986,13,107.04392,14,169.45922
채소종자류,12638,694.117756,11029,232.353624,803,112.904852,361,87.99498,264,99.22771,82,49.26985,55,45.3616,29,34.1346,8,13.699,2,4.77106,3,8.25718,2,6.1433,0,0,0,0,0,0
특용작물류,522577,62462.46501,319584,14806.36118,130647,17852.9385,39835,9555.01896,21951,8184.443138,5444,3158.966089,2429,1994.435819,1213,1460.152896,490,839.724929,264,589.4805,175,483.39111,308,1185.369445,122,709.39867,65,547.01268,50,1095.771105
버섯류,14498,6861.066327,8286,304.080839,2429,340.179089,1222,297.479081,1050,399.75594,393,232.941678,299,251.264995,259,308.863099,114,196.800786,82,182.70382,60,164.2769,125,478.21115,57,347.0846,45,378.543625,77,2978.880725
인삼류,17778,15711.69822,1698,89.486871,3325,497.928399,2959,733.156094,3392,1312.043966,1626,959.237307,1307,1093.019305,1084,1321.020511,628,1086.673201,374,832.601585,283,775.61539,564,2165.077227,259,1491.969426,147,1195.971138,132,2157.897798
약용작물류,82617,14714.32804,43917,1707.936323,18623,2600.149318,8085,1959.360249,6554,2487.072475,2357,1375.040722,1464,1210.309924,854,1026.616862,322,550.85956,143,314.80663,80,217.79431,128,478.434655,51,289.28622,28,230.89552,11,265.765275
화목류,25560,5258.50635,10146,461.048986,7034,999.476595,3435,836.75029,2919,1104.545738,963,561.86443,562,460.415786,298,356.161465,106,180.22957,46,102.97785,19,52.08511,26,94.50793,3,18.5633,2,17.4229,1,12.4564
초화류,13957,1412.505028,10055,328.189811,2241,309.358978,754,183.341809,543,202.70996,180,105.23279,96,79.39564,52,61.61019,16,28.67526,6,13.3533,5,13.5115,2,6.4605,2,11.0364,3,23.81014,2,45.81875
난류,628,93.508414,387,13.631299,100,14.782455,48,11.61887,53,20.590125,20,11.89893,10,8.29351,8,9.381375,2,3.31185,0,0,0,0,0,0,0,0,0,0,0,0
선인장/다육식물류,2307,299.043645,1358,50.707315,475,65.78627,249,60.37747,137,52.09697,40,23.02843,30,24.64925,16,18.46604,1,1.5738,1,2.3581,0,0,0,0,0,0,0,0,0,0
숙근류,9637,4955.001414,1991,92.500444,2129,310.167189,1436,358.77391,1554,597.467317,747,438.583221,613,512.28908,539,654.156005,224,384.08206,126,280.66218,81,221.760347,137,509.588782,30,174.14237,16,127.774034,14,293.054475
구근류,644,152.22938,268,11.096995,134,18.85668,94,23.0768,72,27.161805,36,21.17128,19,15.98465,14,16.77017,1,1.57,3,6.968,0,0,3,9.573,0,0,0,0,0,0
