년월,과학관명,관람객 인원
2017년 05월,서울시립과학관,31620
2017년 06월,서울시립과학관,18827
2017년 07월,서울시립과학관,16734
2017년 08월,서울시립과학관,24244
2017년 09월,서울시립과학관,14189
2017년 10월,서울시립과학관,18881
2017년 11월,서울시립과학관,17077
2017년 12월,서울시립과학관,29013
2018년 01월,서울시립과학관,19647
2018년 02월,서울시립과학관,12010
2018년 03월,서울시립과학관,14473
2018년 04월,서울시립과학관,13830
2018년 05월,서울시립과학관,16727
2018년 06월,서울시립과학관,10512
2018년 07월,서울시립과학관,14559
2018년 08월,서울시립과학관,37716
2018년 09월,서울시립과학관,13557
2018년 10월,서울시립과학관,22216
2018년 11월,서울시립과학관,17550
2018년 12월,서울시립과학관,20393
2019년 01월,서울시립과학관,17035
2019년 02월,서울시립과학관,13042
2019년 03월,서울시립과학관,13975
2019년 04월,서울시립과학관,15306
2019년 05월,서울시립과학관,23227
2019년 06월,서울시립과학관,13789
2019년 07월,서울시립과학관,17410
2019년 08월,서울시립과학관,36565
2019년 09월,서울시립과학관,13233
2019년 10월,서울시립과학관,21038
2019년 11월,서울시립과학관,18202
2019년 12월,서울시립과학관,14165
2020년 01월,서울시립과학관,16607
2020년 02월,서울시립과학관,4676
2020년 03월,서울시립과학관,휴관
2020년 04월,서울시립과학관,휴관
2020년 05월,서울시립과학관,778
2020년 06월,서울시립과학관,휴관
2020년 07월,서울시립과학관,755
2020년 08월,서울시립과학관,3528
2020년 09월,서울시립과학관,휴관
2020년 10월,서울시립과학관,1216
2020년 11월,서울시립과학관,1723
2020년 12월,서울시립과학관,108
2021년 01월,서울시립과학관,684
2021년 02월,서울시립과학관,2277
2021년 03월,서울시립과학관,2657
2021년 04월,서울시립과학관,2055
2021년 05월,서울시립과학관,3571
2021년 06월,서울시립과학관,3063
2021년 07월,서울시립과학관,2980
2021년 08월,서울시립과학관,5231
2021년 09월,서울시립과학관,1736
2021년 10월,서울시립과학관,3280
2021년 11월,서울시립과학관,2528
2021년 12월,서울시립과학관,3655
2022년 01월,서울시립과학관,4451
2022년 02월,서울시립과학관,3283
2022년 03월,서울시립과학관,2875
2022년 04월,서울시립과학관,2668
2022년 05월,서울시립과학관,4650
2022년 06월,서울시립과학관,4731
2022년 07월,서울시립과학관,7629
2022년 08월,서울시립과학관,13018
2022년 09월,서울시립과학관,4757
2022년 10월,서울시립과학관,5487
2022년 11월,서울시립과학관,5746
2022년 12월,서울시립과학관,7294
2023년 01월,서울시립과학관,7062
2023년 02월,서울시립과학관,7740
2023년 03월,서울시립과학관,4439
2023년 04월,서울시립과학관,6348
2023년 05월,서울시립과학관,8151
2023년 06월,서울시립과학관,6483
2023년 07월,서울시립과학관,11711
2023년 08월,서울시립과학관,14131
2023년 09월,서울시립과학관,7463
