년도,구분,채소_묶음_분류,시도,면적_계,단수_계,생산량_계,노지_면적,노지_단수,노지_생산량,시설_면적,시설_단수,시설_생산량
"2016","경북","양채류","녹색꽃양배추","18","841","150","18","834","147","0","1500",3
"2016","경남","양채류","녹색꽃양배추","4","794","28","4","795","28","0","0",0
"2016","제주","양채류","녹색꽃양배추","1497","1648","24681","1496","1648","24652","2","1781",29
"2016","세종","양채류","녹색꽃양배추","0","0","0","0","0","0","0","0",0
"2016","전국","양채류","케일","26","2757","711","4","2340","98","22","2838",613
"2016","서울","양채류","케일","0","0","0","0","0","0","0","0",0
"2016","부산","양채류","케일","0","0","0","0","0","0","0","0",0
"2016","대구","양채류","케일","3","1065","33","0","0","0","3","1065",33
"2016","인천","양채류","케일","0","3300","3","0","0","0","0","3300",3
"2016","광주","양채류","케일","0","0","0","0","0","0","0","0",0
"2016","대전","양채류","케일","0","0","0","0","0","0","0","0",0
"2016","울산","양채류","케일","0","0","0","0","0","0","0","0",0
"2016","경기","양채류","케일","14","3194","460","2","2125","51","12","3408",409
"2016","강원","양채류","케일","2","2629","55","0","0","0","2","2629",55
"2016","충북","양채류","케일","0","7350","15","0","7350","15","0","0",0
"2016","충남","양채류","케일","0","0","0","0","0","0","0","0",0
"2016","전북","양채류","케일","0","0","0","0","0","0","0","0",0
"2016","전남","양채류","케일","0","0","0","0","0","0","0","0",0
"2016","경북","양채류","케일","1","2500","13","0","0","0","1","2500",13
"2016","경남","양채류","케일","4","2634","100","0","0","0","4","2634",100
"2016","제주","양채류","케일","2","2038","33","2","2038","33","0","0",0
"2016","세종","양채류","케일","0","0","0","0","0","0","0","0",0
"2016","전국","양채류","신선초","41","3513","1430","1","1236","17","39","3594",1412
"2016","서울","양채류","신선초","0","0","0","0","0","0","0","0",0
"2016","부산","양채류","신선초","0","0","0","0","0","0","0","0",0
"2016","대구","양채류","신선초","0","0","0","0","0","0","0","0",0
"2016","인천","양채류","신선초","0","0","0","0","0","0","0","0",0
"2016","광주","양채류","신선초","0","0","0","0","0","0","0","0",0
"2016","대전","양채류","신선초","0","0","0","0","0","0","0","0",0
"2016","울산","양채류","신선초","0","0","0","0","0","0","0","0",0
"2016","경기","양채류","신선초","24","2675","629","0","0","0","24","2675",629
"2016","강원","양채류","신선초","14","5349","760","0","0","0","14","5349",760
"2016","충북","양채류","신선초","0","7500","15","0","0","0","0","7500",15
"2016","충남","양채류","신선초","0","0","0","0","0","0","0","0",0
"2016","전북","양채류","신선초","1","650","9","0","0","0","1","650",9
"2016","전남","양채류","신선초","0","0","0","0","0","0","0","0",0
"2016","경북","양채류","신선초","0","0","0","0","0","0","0","0",0
"2016","경남","양채류","신선초","0","0","0","0","0","0","0","0",0
"2016","제주","양채류","신선초","1","1236","17","1","1236","17","0","0",0
"2016","세종","양채류","신선초","0","0","0","0","0","0","0","0",0
"2016","전국","기타채소","계","4050","0","92637","1984","0","36871","2066","0",55766
"2016","서울","기타채소","계","1","0","8","1","0","8","0","0",0
"2016","부산","기타채소","계","4","0","70","3","0","45","1","0",25
"2016","대구","기타채소","계","33","0","1317","0","0","0","33","0",1317
"2016","인천","기타채소","계","15","0","356","0","0","0","15","0",356
"2016","광주","기타채소","계","31","0","1042","0","0","0","31","0",1042
"2016","대전","기타채소","계","5","0","46","0","0","0","5","0",46
"2016","울산","기타채소","계","6","0","173","0","0","0","6","0",173
"2016","경기","기타채소","계","464","0","15884","41","0","533","423","0",15351
"2016","강원","기타채소","계","318","0","3287","225","0","2263","93","0",1024
"2016","충북","기타채소","계","36","0","864","0","0","0","36","0",864
"2016","충남","기타채소","계","752","0","11218","195","0","2828","557","0",8389
"2016","전북","기타채소","계","115","0","523","95","0","275","20","0",249
"2016","전남","기타채소","계","422","0","6533","317","0","3404","105","0",3129
"2016","경북","기타채소","계","337","0","3369","260","0","1051","77","0",2318
"2016","경남","기타채소","계","790","0","24340","154","0","3790","636","0",20550
"2016","제주","기타채소","계","722","0","23608","695","0","22674","27","0",934
"2016","세종","기타채소","계","0","0","0","0","0","0","0","0",0
"2016","인천","양채류","적채","0","0","0","0","0","0","0","0",0
"2016","광주","양채류","적채","0","0","0","0","0","0","0","0",0
"2016","대전","양채류","적채","0","0","0","0","0","0","0","0",0
"2016","울산","양채류","적채","0","0","0","0","0","0","0","0",0
"2016","경기","양채류","적채","31","2258","691","10","2073","201","21","2344",490
"2016","강원","양채류","적채","28","2979","846","28","2979","846","0","0",0
"2016","충북","양채류","적채","57","1368","773","41","911","369","16","2526",404
"2016","충남","양채류","적채","8","2496","187","6","2300","138","2","3280",49
"2016","전북","양채류","적채","0","0","0","0","0","0","0","0",0
"2016","전남","양채류","적채","0","0","0","0","0","0","0","0",0
"2016","경북","양채류","적채","10","2541","241","2","1758","33","8","2737",208
"2016","경남","양채류","적채","0","0","0","0","0","0","0","0",0
"2016","제주","양채류","적채","171","3712","6347","171","3712","6347","0","0",0
"2016","세종","양채류","적채","0","0","0","0","0","0","0","0",0
"2016","전국","양채류","파세리","31","1673","524","5","981","51","26","1811",473
"2016","서울","양채류","파세리","0","0","0","0","0","0","0","0",0
"2016","부산","양채류","파세리","0","0","0","0","0","0","0","0",0
"2016","대구","양채류","파세리","0","0","0","0","0","0","0","0",0
"2016","인천","양채류","파세리","0","0","0","0","0","0","0","0",0
"2016","광주","양채류","파세리","0","0","0","0","0","0","0","0",0
"2016","대전","양채류","파세리","0","0","0","0","0","0","0","0",0
"2016","울산","양채류","파세리","0","0","0","0","0","0","0","0",0
"2016","경기","양채류","파세리","21","2104","440","0","0","0","21","2104",440
"2016","강원","양채류","파세리","7","984","68","5","981","51","2","994",17
